,date,state,cases_new
672,2020-07-03,Johor,2
673,2020-07-03,Kedah,0
674,2020-07-03,Kelantan,0
675,2020-07-03,Melaka,0
676,2020-07-03,Negeri Sembilan,0
677,2020-07-03,Pahang,0
678,2020-07-03,Perak,0
679,2020-07-03,Perlis,0
680,2020-07-03,Pulau Pinang,0
681,2020-07-03,Sabah,0
682,2020-07-03,Sarawak,0
683,2020-07-03,Selangor,8
684,2020-07-03,Terengganu,0
685,2020-07-03,W.P. Kuala Lumpur,0
686,2020-07-03,W.P. Labuan,0
687,2020-07-03,W.P. Putrajaya,0
688,2020-08-03,Johor,0
689,2020-08-03,Kedah,0
690,2020-08-03,Kelantan,0
691,2020-08-03,Melaka,0
692,2020-08-03,Negeri Sembilan,0
693,2020-08-03,Pahang,0
694,2020-08-03,Perak,0
695,2020-08-03,Perlis,0
696,2020-08-03,Pulau Pinang,0
697,2020-08-03,Sabah,0
698,2020-08-03,Sarawak,0
699,2020-08-03,Selangor,6
700,2020-08-03,Terengganu,0
701,2020-08-03,W.P. Kuala Lumpur,0
702,2020-08-03,W.P. Labuan,0
703,2020-08-03,W.P. Putrajaya,0
704,2020-09-03,Johor,0
705,2020-09-03,Kedah,0
706,2020-09-03,Kelantan,0
707,2020-09-03,Melaka,0
708,2020-09-03,Negeri Sembilan,1
709,2020-09-03,Pahang,0
710,2020-09-03,Perak,0
711,2020-09-03,Perlis,0
712,2020-09-03,Pulau Pinang,0
713,2020-09-03,Sabah,0
714,2020-09-03,Sarawak,0
715,2020-09-03,Selangor,11
716,2020-09-03,Terengganu,0
717,2020-09-03,W.P. Kuala Lumpur,6
718,2020-09-03,W.P. Labuan,0
719,2020-09-03,W.P. Putrajaya,0
720,2020-10-03,Johor,0
721,2020-10-03,Kedah,0
722,2020-10-03,Kelantan,0
723,2020-10-03,Melaka,0
724,2020-10-03,Negeri Sembilan,1
725,2020-10-03,Pahang,0
726,2020-10-03,Perak,0
727,2020-10-03,Perlis,0
728,2020-10-03,Pulau Pinang,1
729,2020-10-03,Sabah,0
730,2020-10-03,Sarawak,0
731,2020-10-03,Selangor,10
732,2020-10-03,Terengganu,0
733,2020-10-03,W.P. Kuala Lumpur,0
734,2020-10-03,W.P. Labuan,0
735,2020-10-03,W.P. Putrajaya,0
736,2020-11-03,Johor,3
737,2020-11-03,Kedah,0
738,2020-11-03,Kelantan,0
739,2020-11-03,Melaka,1
740,2020-11-03,Negeri Sembilan,2
741,2020-11-03,Pahang,1
742,2020-11-03,Perak,0
743,2020-11-03,Perlis,0
744,2020-11-03,Pulau Pinang,0
745,2020-11-03,Sabah,0
746,2020-11-03,Sarawak,0
747,2020-11-03,Selangor,9
748,2020-11-03,Terengganu,0
749,2020-11-03,W.P. Kuala Lumpur,4
750,2020-11-03,W.P. Labuan,0
751,2020-11-03,W.P. Putrajaya,0
752,2020-12-03,Johor,1
753,2020-12-03,Kedah,0
754,2020-12-03,Kelantan,0
755,2020-12-03,Melaka,0
756,2020-12-03,Negeri Sembilan,2
757,2020-12-03,Pahang,0
758,2020-12-03,Perak,0
759,2020-12-03,Perlis,0
760,2020-12-03,Pulau Pinang,0
761,2020-12-03,Sabah,1
762,2020-12-03,Sarawak,0
763,2020-12-03,Selangor,3
764,2020-12-03,Terengganu,0
765,2020-12-03,W.P. Kuala Lumpur,2
766,2020-12-03,W.P. Labuan,0
767,2020-12-03,W.P. Putrajaya,0
768,2020-03-13,Johor,4
769,2020-03-13,Kedah,2
770,2020-03-13,Kelantan,3
771,2020-03-13,Melaka,0
772,2020-03-13,Negeri Sembilan,1
773,2020-03-13,Pahang,1
774,2020-03-13,Perak,2
775,2020-03-13,Perlis,1
776,2020-03-13,Pulau Pinang,5
777,2020-03-13,Sabah,14
778,2020-03-13,Sarawak,0
779,2020-03-13,Selangor,1
780,2020-03-13,Terengganu,0
781,2020-03-13,W.P. Kuala Lumpur,3
